param_name,scale,agent,metric,value_mean,value_std,n_seeds
gamma_f,-0.25,dqn,ttm,214.6,224.66676557861322,10
gamma_f,-0.25,linucb,avg_fatigue,0.5610154556209839,0.005374335452663202,10
gamma_f,-0.25,linucb,feasible_rate,0.978618199852218,0.008427926372113061,10
gamma_f,-0.25,linucb,learn_slope,0.0004,0.0006,10
gamma_f,-0.25,linucb,ttm,269.3,202.29409284504575,10
gamma_f,-0.25,pianoMPC,avg_fatigue,0.5622163800122004,0.019554925426168594,10
gamma_f,-0.25,pianoMPC,feasible_rate,0.8801304877130833,0.03806817621671725,10
gamma_f,-0.25,pianoMPC,learn_slope,0.004,0.0022,10
gamma_f,-0.25,pianoMPC,ttm,42.8,12.6473536977328,10
gamma_f,-0.25,safe_ac,avg_fatigue,0.5390512883467924,0.03593369384738474,10
gamma_f,-0.25,safe_ac,feasible_rate,0.9154125250739952,0.04461575188343711,10
gamma_f,-0.25,safe_ac,learn_slope,0.0013,0.0008,10
gamma_f,-0.25,safe_ac,ttm,77.1,27.090178622109114,10
gamma_f,-0.25,thompson,avg_fatigue,0.5368672939885165,0.03917662608691186,10
gamma_f,-0.25,thompson,feasible_rate,0.9068609372356932,0.037079798247399945,10
gamma_f,-0.25,thompson,learn_slope,0.0014,0.0018,10
gamma_f,-0.25,thompson,ttm,135.1,114.5236026134157,10
gamma_f,0.0,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
gamma_f,0.0,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
gamma_f,0.0,autocurriculum,learn_slope,0.0,0.0,10
gamma_f,0.0,autocurriculum,ttm,600.0,0.0,10
gamma_f,0.0,bayesianmab,avg_fatigue,0.5120590918907263,0.08157873295347458,10
gamma_f,0.0,bayesianmab,feasible_rate,0.9011597796664169,0.039483346495236125,10
gamma_f,0.0,bayesianmab,learn_slope,0.0022,0.0016,10
gamma_f,0.0,bayesianmab,ttm,69.3,37.33645820255466,10
gamma_f,0.0,ccb_df,avg_fatigue,0.5372858989550082,0.024087744659515156,10
gamma_f,0.0,ccb_df,feasible_rate,0.9157362381030275,0.031895891214634355,10
gamma_f,0.0,ccb_df,learn_slope,0.0008,0.0004,10
gamma_f,0.0,ccb_df,ttm,96.0,33.90181902690965,10
gamma_f,0.0,dqn,avg_fatigue,0.520372103408294,0.04227435332305036,10
gamma_f,0.0,dqn,feasible_rate,0.928408191017423,0.045559973013053846,10
gamma_f,0.0,dqn,learn_slope,0.001,0.0009,10
gamma_f,0.0,dqn,ttm,210.4,227.2332135347589,10
gamma_f,0.0,linucb,avg_fatigue,0.5599975126510727,0.007343385382857137,10
gamma_f,0.0,linucb,feasible_rate,0.9750408625462367,0.008686366087780116,10
gamma_f,0.0,linucb,learn_slope,0.0003,0.0005,10
gamma_f,0.0,linucb,ttm,309.8,188.01170176348066,10
gamma_f,0.0,pianoMPC,avg_fatigue,0.5622163800122004,0.019554925426168594,10
gamma_f,0.0,pianoMPC,feasible_rate,0.8801304877130833,0.03806817621671725,10
gamma_f,0.0,pianoMPC,learn_slope,0.004,0.0022,10
gamma_f,0.0,pianoMPC,ttm,42.8,12.6473536977328,10
gamma_f,0.0,safe_ac,avg_fatigue,0.5390126107783602,0.03590698256861255,10
gamma_f,0.0,safe_ac,feasible_rate,0.916597499597043,0.043871103312546636,10
gamma_f,0.0,safe_ac,learn_slope,0.0013,0.0008,10
gamma_f,0.0,safe_ac,ttm,78.1,27.67449688391422,10
gamma_f,0.0,thompson,avg_fatigue,0.5532974918722247,0.01646032348937001,10
gamma_f,0.0,thompson,feasible_rate,0.9090989697980758,0.021681445549864366,10
gamma_f,0.0,thompson,learn_slope,0.0005,0.0004,10
gamma_f,0.0,thompson,ttm,159.9,92.79301937346605,10
gamma_f,0.25,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
gamma_f,0.25,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
gamma_f,0.25,autocurriculum,learn_slope,0.0,0.0,10
gamma_f,0.25,autocurriculum,ttm,600.0,0.0,10
gamma_f,0.25,bayesianmab,avg_fatigue,0.5213971574128973,0.08016902904481775,10
gamma_f,0.25,bayesianmab,feasible_rate,0.8947244959558105,0.036805221930964,10
gamma_f,0.25,bayesianmab,learn_slope,0.0024,0.0017,10
gamma_f,0.25,bayesianmab,ttm,65.6,34.261089040224945,10
gamma_f,0.25,ccb_df,avg_fatigue,0.5471275976263101,0.019536126463569576,10
gamma_f,0.25,ccb_df,feasible_rate,0.9024122580951282,0.02850700397954455,10
gamma_f,0.25,ccb_df,learn_slope,0.0009,0.0004,10
gamma_f,0.25,ccb_df,ttm,88.0,21.612753436596435,10
gamma_f,0.25,dqn,avg_fatigue,0.520800024856253,0.04245122635790223,10
gamma_f,0.25,dqn,feasible_rate,0.9227557273308047,0.03694509464274986,10
gamma_f,0.25,dqn,learn_slope,0.0012,0.0012,10
gamma_f,0.25,dqn,ttm,229.4,257.3010342424263,10
gamma_f,0.25,linucb,avg_fatigue,0.5597798590549339,0.0056217596367596195,10
gamma_f,0.25,linucb,feasible_rate,0.9789812937018219,0.011375393944892086,10
gamma_f,0.25,linucb,learn_slope,0.0002,0.0003,10
gamma_f,0.25,linucb,ttm,300.6,160.7801811998813,10
gamma_f,0.25,pianoMPC,avg_fatigue,0.5626995995243955,0.01994761727148378,10
gamma_f,0.25,pianoMPC,feasible_rate,0.8827646340545469,0.03692716543752923,10
gamma_f,0.25,pianoMPC,learn_slope,0.0039,0.0023,10
gamma_f,0.25,pianoMPC,ttm,43.7,12.824022596500505,10
gamma_f,0.25,safe_ac,avg_fatigue,0.5390126107783602,0.03590698256861255,10
gamma_f,0.25,safe_ac,feasible_rate,0.916597499597043,0.043871103312546636,10
gamma_f,0.25,safe_ac,learn_slope,0.0013,0.0008,10
gamma_f,0.25,safe_ac,ttm,78.1,27.67449688391422,10
gamma_f,0.25,thompson,avg_fatigue,0.547640142795038,0.019683762692944026,10
gamma_f,0.25,thompson,feasible_rate,0.9004909387079876,0.034888762948000585,10
gamma_f,0.25,thompson,learn_slope,0.0011,0.001,10
gamma_f,0.25,thompson,ttm,100.1,50.53590582722128,10
gamma_f,0.5,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
gamma_f,0.5,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
gamma_f,0.5,autocurriculum,learn_slope,0.0,0.0,10
gamma_f,0.5,autocurriculum,ttm,600.0,0.0,10
gamma_f,0.5,bayesianmab,avg_fatigue,0.5179793982589833,0.07780529892493947,10
gamma_f,0.5,bayesianmab,feasible_rate,0.8977604930264504,0.0313038472112681,10
gamma_f,0.5,bayesianmab,learn_slope,0.0024,0.0017,10
gamma_f,0.5,bayesianmab,ttm,65.3,34.03935630674849,10
gamma_f,0.5,ccb_df,avg_fatigue,0.5451531203269491,0.018820145293611482,10
gamma_f,0.5,ccb_df,feasible_rate,0.9118444555827923,0.02989896830299778,10
gamma_f,0.5,ccb_df,learn_slope,0.0007,0.0005,10
gamma_f,0.5,ccb_df,ttm,108.4,37.76300364701469,10
gamma_f,0.5,dqn,avg_fatigue,0.520800024856253,0.04245122635790223,10
gamma_f,0.5,dqn,feasible_rate,0.9227557273308047,0.03694509464274986,10
gamma_f,0.5,dqn,learn_slope,0.0012,0.0012,10
gamma_f,0.5,dqn,ttm,229.4,257.3010342424263,10
gamma_f,0.5,linucb,avg_fatigue,0.5607850190219135,0.005110883014149202,10
gamma_f,0.5,linucb,feasible_rate,0.9734792933615525,0.014489626436603854,10
gamma_f,0.5,linucb,learn_slope,0.0002,0.0003,10
gamma_f,0.5,linucb,ttm,355.5,169.38139081834095,10
gamma_f,0.5,pianoMPC,avg_fatigue,0.5678948665967416,0.02116475373893704,10
gamma_f,0.5,pianoMPC,feasible_rate,0.8808714629930188,0.03855546861466909,10
gamma_f,0.5,pianoMPC,learn_slope,0.0034,0.0021,10
gamma_f,0.5,pianoMPC,ttm,45.9,11.87387421564204,10
gamma_f,0.5,safe_ac,avg_fatigue,0.5390126107783602,0.03590698256861255,10
gamma_f,0.5,safe_ac,feasible_rate,0.916597499597043,0.043871103312546636,10
gamma_f,0.5,safe_ac,learn_slope,0.0013,0.0008,10
gamma_f,0.5,safe_ac,ttm,78.1,27.67449688391422,10
gamma_f,0.5,thompson,avg_fatigue,0.5440059261255399,0.02148264044760278,10
gamma_f,0.5,thompson,feasible_rate,0.9177810417256426,0.02482395981251441,10
gamma_f,0.5,thompson,learn_slope,0.0009,0.0007,10
gamma_f,0.5,thompson,ttm,117.1,68.11827948502517,10
kappa,-0.5,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
kappa,-0.5,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
kappa,-0.5,autocurriculum,learn_slope,0.0,0.0,10
kappa,-0.5,autocurriculum,ttm,600.0,0.0,10
kappa,-0.5,bayesianmab,avg_fatigue,0.5195799842346164,0.0791992704611609,10
kappa,-0.5,bayesianmab,feasible_rate,0.8967522038760978,0.0362806625883523,10
kappa,-0.5,bayesianmab,learn_slope,0.0024,0.0017,10
kappa,-0.5,bayesianmab,ttm,64.2,33.95683534528308,10
kappa,-0.5,ccb_df,avg_fatigue,0.5422749825018849,0.017377620143045305,10
kappa,-0.5,ccb_df,feasible_rate,0.9131879482710517,0.029219488884140974,10
kappa,-0.5,ccb_df,learn_slope,0.001,0.0005,10
kappa,-0.5,ccb_df,ttm,83.0,22.479620400116488,10
kappa,-0.5,dqn,avg_fatigue,0.520800024856253,0.04245122635790223,10
kappa,-0.5,dqn,feasible_rate,0.9227557273308047,0.03694509464274986,10
kappa,-0.5,dqn,learn_slope,0.0012,0.0012,10
kappa,-0.5,dqn,ttm,229.4,257.3010342424263,10
kappa,-0.5,linucb,avg_fatigue,0.5601141700131259,0.006521617366656026,10
kappa,-0.5,linucb,feasible_rate,0.9756144851713001,0.004195849498113002,10
kappa,-0.5,linucb,learn_slope,0.0001,0.0002,10
kappa,-0.5,linucb,ttm,404.6,173.41549334858558,10
kappa,-0.5,pianoMPC,avg_fatigue,0.5678948665967416,0.02116475373893704,10
