scenario,agent,num_runs,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,time_to_mastery_mean,time_to_mastery_std
obs_x2_transfer_x1.2,BayesianMAB,5,0.004745829393275451,0.002924144750440774,0.462450481880679,0.12659862719554077,0.08445054805920187,0.048770193317550954,0.9155494519407981,0.04877019331755082,34.800000000000004,19.704708968820935
obs_x2_transfer_x1.2,CCB-DF,5,0.005380359500975852,0.007735869487014172,0.4862725574607282,0.1141017702585836,0.08988715469169985,0.03869898199533005,0.9101128453083002,0.03869898199532999,48.800000000000004,11.683372654238728
obs_x2_transfer_x1.2,LinUCB,5,0.0026683066665729098,0.0024056946757815647,0.49901906292609577,0.10398864091417544,0.06987337484363036,0.03707730319823955,0.9301266251563697,0.03707730319823944,40.2,16.289580330501167
obs_x2_transfer_x1.2,Thompson,5,0.005153959554259734,0.004927875058043863,0.4916233787629743,0.14426921729284323,0.09380938400286698,0.03634094956730185,0.906190615997133,0.036340949567301946,47.73333333333334,18.148378624975933
obs_x3_transfer_x0.8,PianoMPC,5,0.002183015299137649,0.003347223057828159,0.4750180487202069,0.14136937110916706,0.05299794510797378,0.042555274542150884,0.9470020548920263,0.042555274542150814,63.199999999999996,34.667741600261756
obs_x3_transfer_x0.8,BayesianMAB,5,0.005915125502046515,0.003213583108827945,0.4591473450022267,0.14275333663616166,0.08548255745225504,0.02789888236432006,0.9145174425477451,0.027898882364320032,85.26666666666667,20.1220265978832
obs_x3_transfer_x0.8,CCB-DF,5,0.005405140103410204,0.002664830252832152,0.45298651217559976,0.15831059966848637,0.07917041030253763,0.05049473654607716,0.9208295896974624,0.050494736546077494,91.0,57.462567525170904
obs_x3_transfer_x0.8,LinUCB,5,0.004346905027785179,0.00419453878279897,0.46801471473422646,0.08537472895028257,0.07738910506257089,0.044265732621598525,0.9226108949374291,0.044265732621598324,79.2,34.273899266220866
obs_x3_transfer_x0.8,Thompson,5,0.004010132358548866,0.004848635037267502,0.4655789628693647,0.12615275019572092,0.07134723532238603,0.07428154292100998,0.928652764677614,0.07428154292101,91.06666666666668,24.106804136666504
obs_x3_transfer_x1.2,PianoMPC,5,0.0022202363235892873,0.0035598825093605645,0.47043862274883025,0.08597709709181674,0.04939511710458625,0.05679177749541156,0.9506048828954138,0.05679177749541144,46.866666666666674,21.278685347812907
obs_x3_transfer_x1.2,BayesianMAB,5,0.0027194162001170073,0.00345330565944169,0.4342024071063171,0.13834341182417786,0.057469900618058796,0.04843746595716279,0.9425300993819411,0.0484374659571627,64.39999999999999,39.381222476229
obs_x3_transfer_x1.2,CCB-DF,5,0.003926422391951967,0.002549405529911036,0.44620856525205865,0.12432652052378439,0.06667100722398343,0.024644119703008914,0.9333289927760166,0.024644119703008723,63.333333333333336,7.239603017469459
obs_x3_transfer_x1.2,LinUCB,5,0.004016587333718002,0.003520120971458408,0.4671055723873084,0.15720019801838575,0.06993122311459511,0.04384480813331799,0.9300687768854049,0.043844808133317995,75.53333333333335,28.18082433817678
obs_x3_transfer_x1.2,Thompson,5,0.00483969391010703,0.0015816148721461633,0.46586787288766884,0.1426946679636339,0.08162473399866321,0.05375425988908833,0.9183752660013368,0.053754259889088496,55.800000000000004,28.52759347935641
